SalePrice,Id
141062.66,1461
166553.12,1462
177973.05,1463
176085.5,1464
169758.53,1465
169624.38,1466
152087.9,1467
153029.7,1468
174527.0,1469
126835.62,1470
180381.72,1471
119668.45,1472
131819.31,1473
158944.12,1474
108546.72,1475
289115.2,1476
240311.58,1477
265353.2,1478
258951.47,1479
432289.56,1480
290255.97,1481
186600.72,1482
169361.16,1483
150197.6,1484
126219.266,1485
178652.55,1486
315650.97,1487
246058.16,1488
174574.88,1489
193362.66,1490
181772.75,1491
124552.1,1492
187105.42,1493
291167.7,1494
270214.88,1495
194189.44,1496
185981.58,1497
137259.62,1498
131978.31,1499
144169.97,1500
212064.86,1501
122266.625,1502
224588.78,1503
205270.84,1504
201506.22,1505
243673.56,1506
273380.8,1507
225641.48,1508
164509.94,1509
170533.25,1510
161376.69,1511
210462.92,1512
164865.06,1513
192190.95,1514
248133.28,1515
178603.84,1516
145519.88,1517
213973.03,1518
225312.94,1519
146589.0,1520
151599.12,1521
201977.78,1522
136431.7,1523
122798.08,1524
122136.6,1525
121182.2,1526
127015.875,1527
129541.34,1528
156210.81,1529
188283.84,1530
197518.19,1531
99753.82,1532
181013.62,1533
129171.48,1534
164696.62,1535
141188.53,1536
130157.8,1537
159436.08,1538
202747.36,1539
182673.03,1540
166988.06,1541
170119.52,1542
206656.12,1543
94743.336,1544
112422.46,1545
134625.53,1546
155593.9,1547
143562.17,1548
127751.59,1549
171355.28,1550
134125.34,1551
208997.19,1552
132285.64,1553
122963.195,1554
196493.28,1555
117609.766,1556
139587.58,1557
99007.625,1558
150094.81,1559
176015.48,1560
201404.1,1561
121305.484,1562
109542.56,1563
183859.83,1564
154677.81,1565
204122.94,1566
103902.0,1567
229916.16,1568
177500.98,1569
123124.96,1570
128246.67,1571
147640.03,1572
205928.19,1573
169059.16,1574
197647.27,1575
236426.52,1576
174128.67,1577
151749.53,1578
134405.53,1579
182845.9,1580
128065.04,1581
123631.83,1582
294685.3,1583
229356.38,1584
123239.04,1585
57221.047,1586
96718.66,1587
148351.05,1588
132399.31,1589
133922.72,1590
102149.125,1591
152716.11,1592
116121.984,1593
169869.25,1594
144479.12,1595
251606.47,1596
244038.31,1597
153645.72,1598
145511.52,1599
161283.88,1600
69844.945,1601
135937.84,1602
112194.94,1603
220553.28,1604
225290.64,1605
165735.22,1606
277728.56,1607
190947.27,1608
162968.4,1609
131006.875,1610
158638.17,1611
195932.19,1612
190352.0,1613
116146.37,1614
93070.3,1615
93068.67,1616
110246.164,1617
114544.1,1618
119820.04,1619
262628.62,1620
144974.44,1621
148849.6,1622
223836.44,1623
211094.12,1624
125407.79,1625
210056.16,1626
176330.2,1627
251711.98,1628
142904.89,1629
306233.44,1630
188949.95,1631
217555.25,1632
126457.71,1633
176513.97,1634
154492.73,1635
155462.05,1636
225931.39,1637
217883.03,1638
205832.28,1639
264856.2,1640
193625.22,1641
203841.12,1642
210675.6,1643
200250.6,1644
215892.97,1645
160705.97,1646
158890.0,1647
156248.25,1648
139131.12,1649
128225.53,1650
128218.83,1651
119670.97,1652
118032.984,1653
163585.25,1654
140077.75,1655
158924.9,1656
163563.2,1657
158914.28,1658
110817.23,1659
154707.44,1660
357611.78,1661
307582.2,1662
309216.2,1663
377055.53,1664
263238.8,1665
273216.94,1666
285007.66,1667
270049.3,1668
218413.45,1669
270465.5,1670
252395.44,1671
373597.8,1672
271067.12,1673
253547.44,1674
187864.31,1675
187334.53,1676
184540.84,1677
383625.3,1678
316083.94,1679
267384.6,1680
215847.98,1681
248789.52,1682
189615.12,1683
149607.16,1684
152885.42,1685
155896.44,1686
126216.336,1687
181218.2,1688
168225.42,1689
154743.72,1690
140209.19,1691
216337.12,1692
126219.266,1693
156656.34,1694
129875.92,1695
263962.94,1696
130545.36,1697
314199.0,1698
314752.0,1699
242929.16,1700
262664.12,1701
265866.5,1702
242785.38,1703
